Lithium hydroxide,23.95 g/mol,LiOH
Phosphorus pentachloride,208.24 g/mol,PCl5
Potassium oxide,94.2 g/mol,K2O
Monopotassium phosphate,136.084 g/mol,KH2PO4
Silver acetate,166.91 g/mol,AgC2H3O2
Sodium citrate,258.06 g/mol,Na3C6H5O7
Sodium fluoride,41.98817 g/mol,NaF
Sodium nitrite,68.9953 g/mol,NaNO2
Sulfate ion,96.06 g/mol,SO42−
Barium carbonate,197.34 g/mol,BaCO3
Calcium iodide,293.887 g/mol,CaI2
Hydrogen sulfate,97.064 g/mol,HSO4–
Lithium oxide,29.88 g/mol,Li2O
Dimethylglyoxime,116.12 g/mol,C4H8N2O2
Potassium Permanganate,158.034 g/mol,KMnO4
Silver phosphate,418.58 g/mol,Ag3PO4
Ammonium bromide,97.943 g/mol,NH4Br
Calcium phosphate,310.18 g/mol,Ca3(PO4)2
Dichromate,294.185 g/mol,K2Cr2O7
Aluminum sulfide,150.158 g/mol,Al2S3
Ammonium carbonate,96.086 g/mol,(NH4)2CO3
Barium chloride,208.23 g/mol,BaCl2
Nitrogen monoxide,30.006 g/mol,NO
Fructose,180.16 g/mol,C6H12O6
Magnesium iodide,278.1139 g/mol,MgI2
Magnesium sulfide,56.38 g/mol,MgS
Ozone,48 g/mol,O3
Potassium cyanide,65.12 g/mol,KCN
Silver oxide,231.735 g/mol,Ag2O
Sodium chromate,161.97 g/mol,Na2CrO4
Sodium peroxide,77.98 g/mol,Na2O2
Toluene,92.14 g/mol,C7H8
Zinc carbonate,125.388 g/mol,ZnCO3
Zinc phosphate,386.11 g/mol,Zn3(PO4)2
Zinc sulfide,97.474 g/mol,ZnS
Para dichlorobenzene,147.01 g/mol,C6H4Cl2
Boric acid,61.83 g/mol,H3BO3
Oxalate,88.018 g/mol,C2O42−
Potassium bicarbonate,100.114 g/mol,KHCO3
Potassium hypochlorite,90.55 g/mol,KClO
Potassium nitrite,85.103 g/mol,KNO2
Bromothymol Blue,624.384 g/mol,C27H28Br2O5S
Ammonium iodide,144.94 g/mol,NH4I
Ammonium nitrite,64.06 g/mol,NH4NO2
Ammonium oxide,52.0763 g/mol,(NH4)2O
Argon gas,39.948 g/mol,Ar
Barium bromide,297.14 g/mol,BaBr2
Barium iodide,391.136 g/mol,BaI2
Bromate,127.901 g/mol,BrO3–
Dinitrogen trioxide,76.01 g/mol,N2O3
